"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7974","User can register by providing all info","Daily Finance Automation","Sat Aug 02 01:04:08 BDT 2025","passed","Sat Aug 02 01:04:16 BDT 2025","testrunner.user.UserRegistrationTestRunner","User registration","testrunner.user.UserRegistrationTestRunner","userRegByallFields"
"","217","Login with user","Daily Finance Automation","Sat Aug 02 01:03:52 BDT 2025","passed","Sat Aug 02 01:03:52 BDT 2025","testrunner.user.AddItemCostTestRunnerCSV","Add two item","testrunner.user.AddItemCostTestRunnerCSV","doLogin"
"","5118","Leave both email and password fields empty and check error messages","Daily Finance Automation","Sat Aug 02 01:04:22 BDT 2025","passed","Sat Aug 02 01:04:27 BDT 2025","testrunner.user.UserResetPasswordTestRunner","Reset Password","testrunner.user.UserResetPasswordTestRunner","sendEmptyMail"
"","209","Login with admin account","Daily Finance Automation","Sat Aug 02 01:04:37 BDT 2025","passed","Sat Aug 02 01:04:37 BDT 2025","testrunner.admin.AdminDashboardTestRunner","Login with admin account","testrunner.admin.AdminDashboardTestRunner","doLogin"
"","95","Admin can logout successfully","Daily Finance Automation","Sat Aug 02 01:04:36 BDT 2025","passed","Sat Aug 02 01:04:36 BDT 2025","testrunner.admin.AdminLoginTestRunner","Admin Login successfully","testrunner.admin.AdminLoginTestRunner","logout"
"","4400","Search by the updated email","Daily Finance Automation","Sat Aug 02 01:04:37 BDT 2025","passed","Sat Aug 02 01:04:41 BDT 2025","testrunner.admin.AdminDashboardTestRunner","Login with admin account","testrunner.admin.AdminDashboardTestRunner","searchUpdatedGmail"
"","5264","Login with invalid password and check error message","Daily Finance Automation","Sat Aug 02 01:04:17 BDT 2025","passed","Sat Aug 02 01:04:22 BDT 2025","testrunner.user.UserResetPasswordTestRunner","Reset Password","testrunner.user.UserResetPasswordTestRunner","sendUnregisteredMail"
"","286","Admin Login successfully with valid email and password","Daily Finance Automation","Sat Aug 02 01:04:35 BDT 2025","passed","Sat Aug 02 01:04:36 BDT 2025","testrunner.admin.AdminLoginTestRunner","Admin Login successfully","testrunner.admin.AdminLoginTestRunner","doLogin"
"","7503","Add two items from csv file","Daily Finance Automation","Sat Aug 02 01:04:00 BDT 2025","passed","Sat Aug 02 01:04:07 BDT 2025","testrunner.user.AddItemCostTestRunnerCSV","Add two item","testrunner.user.AddItemCostTestRunnerCSV","addTwoItems"
"","7111","Enter valid registered email and click 'Send Reset Link' button","Daily Finance Automation","Sat Aug 02 01:04:27 BDT 2025","passed","Sat Aug 02 01:04:35 BDT 2025","testrunner.user.UserResetPasswordTestRunner","Reset Password","testrunner.user.UserResetPasswordTestRunner","sendRegisteredMail"
"","7618","Add two items from csv file","Daily Finance Automation","Sat Aug 02 01:03:52 BDT 2025","passed","Sat Aug 02 01:04:00 BDT 2025","testrunner.user.AddItemCostTestRunnerCSV","Add two item","testrunner.user.AddItemCostTestRunnerCSV","addTwoItems"
